base;nombre;calle;distrito;latitud;longitud
0;Base Central;Ronda de las Provincias 4-6-7;Moncloa-Aravaca;40.4117;-3.7430
1;El Espinillo;Avenida Orovilla 50;Villaverde;40.3596;-3.6900
2;San Bernardo;Calle de San Bernardo 68;Centro;40.4267;-3.7065
3;Federico Salmón;Calle de Federico Salmón 8;Chamartín;40.4633;-3.6675
4;Ciudad Lineal;Calle Peloponeso 9;Ciudad Lineal;40.4155;-3.6242
5;Carabanchel;Calle de Eugenia de Montijo 90;Carabanchel;40.3783;-3.7483
6;Pirineos;Francos Rodríguez 77 (entrada Calle Pirineos 1);Moncloa-Aravaca;40.4583;-3.7156
7;La Estrella;Travesía del Vino 1;Moncloa-Aravaca;40.4110;-3.7396
8;Hoyuelo;Calle Hoyuelo 7;Retiro;40.4010;-3.6762
9;Hermenegildo Bielsa;Calle de Antonio López 142 posterior;Usera;40.3906;-3.7027
10;Infanta Mercedes;Calle de Infanta Mercedes 32-34-36;Tetuán;40.4568;-3.6978
11;Arequipa;Calle de Arequipa 4;Hortaleza;40.4689;-3.6417
13;Avenida Valladolid;Avenida de Valladolid 6;Moncloa-Aravaca;40.4296;-3.7300
14;Fuerte de Navidad;Calle Casuarina 10;Latina;40.3802;-3.7654
15;Colón;Plaza de Colón (subterráneo);Salamanca;40.4245;-3.6899
16;Isla de Tabarca;Calle del Doctor Ramón Castro Viejo 47;Fuencarral-El Pardo;40.4752;-3.7215
17;Vicálvaro;Calle las Santeras 39;Vicálvaro;40.3913;-3.5898
19;Las Rosas;Calle de María Sevilla Diago 40;San Blas-Canillejas;40.4336;-3.6044
20;Villa de Vallecas;Calle Real de Arganda 64;Villa de Vallecas;40.3787;-3.6150
21;Barajas;Calle Playa de América 34;Barajas;40.4747;-3.5859
22;Salamanca;Calle Pedro Heredia 34;Salamanca;40.4301;-3.6623
23;Legazpi;Plaza de Legazpi 7;Arganzuela;40.3903;-3.6953
25;Monte Esquinza;Calle del Monte Esquinza 41;Chamberí;40.4303;-3.6920
26;Buenos Aires 17;Avenida de Buenos Aires 17;Puente de Vallecas;40.3887;-3.6526
