especialidad,centros
Radiodiagnóstico,27
Obtención de muestras,27
Reumatología,27
Hematología clínica,27
Enfermería,27
Cardiología,27
Psicología clínica,27
Cirugía ortopédica y Traumatología,27
Rehabilitación,27
Oftalmología,27
Fisioterapia,27
Nutrición y Dietética,27
Psiquiatría,27
Anestesia y Reanimación,27
Cirugía mayor ambulatoria,27
Medicina preventiva,27
Hospital de día,27
Cirugía menor ambulatoria,27
Medicina del trabajo,26
Farmacia,26
Servicio de transfusión,26
Medicina interna,26
Anatomía patológica,26
Neumología,26
Aparato digestivo,26
Dermatología,26
Urología,26
Implantación de tejidos,26
Cirugía general y digestivo,26
Endocrinología,26
Extracción de sangre para donación,26
Ginecología,25
Otorrinolaringología,25
Geriatría,25
Laboratorio Clínico,25
Obtención de tejidos,25
Tratamiento del dolor,25
Atención Continuada en Atención Primaria,25
Pediatría,24
Microbiología y Parasitología,24
Obstetricia,24
Oncología,24
Enfermería obstétrico-ginecológica (matrona),24
Extracción de órganos,23
Terapia ocupacional,23
Laboratorio de hematología,23
Medicina intensiva,23
Cuidados intermedios neonatales,23
Alergología,23
Neurología,23
Nefrología,22
Cuidados paliativos,21
Bioquímica clínica,21
Diálisis,21
Otras unidades asistenciales,20
Vacunación,19
Logopedia,18
Atención sanitaria domiciliaria,18
Neurofisiología,18
Laboratorio de semen para capacitación espermática,17
Inseminación artificial,17
Hemodinámica,16
Planificación familiar,16
Angiología y Cirugía Vascular,15
Neurocirugía,14
Cirugía plástica y reparadora,14
Medicina nuclear,14
Genética,14
Cirugía maxilofacial,13
Cirugía torácica,13
Cuidados intensivos neonatales,12
Banco de tejidos,12
Foniatría,11
Cirugía cardiaca,11
Cirugía pediátrica,11
Inmunología,11
Radioterapia,10
Psiquiatría Infantil y de la Adolescencia,9
Farmacología clínica,9
Banco de semen,8
Recuperación de oocitos,7
Fecundación in vitro,7
Banco de embriones,7
Banco de oocitos,7
Litotricia renal,6
Trasplante de órganos,6
Cirugía refractiva,4
Medicina general/de familia,3
Interrupción voluntaria del embarazo,3
Odontología/Estomatología,3
Quemados,2
Atención sanitaria a drogodependientes,2
"Transporte sanitario (carretera, aéreo, marítimo)",1
Asistencia a lesionados y contaminados por elementos radiactivos y radiaciones ionizantes,1
Podología,1
Depósito de medicamentos,1
