municipio,centros,media_especialidades,max_especialidades
Majadahonda,5,20.2,80
San Lorenzo de El Escorial,3,18.33,46
Valdemoro,6,17.17,70
Collado Villalba,7,14.86,68
San Sebastián de los Reyes,7,13.14,62
Aranjuez,8,12.75,57
Villa del Prado,2,12.5,17
Torrejón de Ardoz,11,12.18,71
Móstoles,21,11.52,76
Getafe,18,10.83,74
Parla,11,10.45,54
Arganda del Rey,10,10.3,54
Alcorcón,15,10.27,71
Leganés,19,10.21,62
Cercedilla,2,10.0,13
Alcalá de Henares,24,9.71,80
Guadarrama,2,9.5,12
Coslada,12,9.25,56
Colmenar Viejo,5,9.2,18
Fuenlabrada,16,9.19,69
Ciempozuelos,1,9.0,9
Perales de Tajuña,1,9.0,9
San Martín de la Vega,1,9.0,9
Boadilla del Monte,2,8.5,9
Griñón,2,8.5,10
Alcobendas,9,8.11,17
"Escorial, El",2,8.0,9
"Cabrera, La",1,8.0,8
Cadalso de los Vidrios,1,8.0,8
Campo Real,1,8.0,8
Colmenarejo,1,8.0,8
Manzanares el Real,1,8.0,8
Moralzarzal,1,8.0,8
Morata de Tajuña,1,8.0,8
Villanueva del Pardillo,1,8.0,8
Villarejo de Salvanés,1,8.0,8
Alpedrete,1,7.0,7
Becerril de la Sierra,1,7.0,7
Camarma de Esteruelas,1,7.0,7
Collado Mediano,1,7.0,7
Cubas de la Sagra,1,7.0,7
Fuente el Saz de Jarama,1,7.0,7
Hoyo de Manzanares,1,7.0,7
Meco,1,7.0,7
Navas del Rey,1,7.0,7
Pelayos de la Presa,1,7.0,7
Serranillos del Valle,1,7.0,7
Sevilla la Nueva,1,7.0,7
Torrejón de Velasco,1,7.0,7
Torrejón de la Calzada,1,7.0,7
Torres de la Alameda,1,7.0,7
Valdemorillo,1,7.0,7
Madrid,454,6.54,88
Pinto,3,6.33,10
Estremera,2,6.0,7
Paracuellos de Jarama,2,6.0,8
San Martín de Valdeiglesias,2,6.0,8
Ajalvir,1,6.0,6
Aldea del Fresno,1,6.0,6
Batres,1,6.0,6
Brunete,1,6.0,6
Cenicientos,1,6.0,6
Colmenar del Arroyo,1,6.0,6
Guadalix de la Sierra,1,6.0,6
Miraflores de la Sierra,1,6.0,6
"Molinos, Los",1,6.0,6
Moraleja de Enmedio,1,6.0,6
Navacerrada,1,6.0,6
Navalagamella,1,6.0,6
Nuevo Baztán,1,6.0,6
Pedrezuela,1,6.0,6
Quijorna,1,6.0,6
Robledo de Chavela,1,6.0,6
Rozas de Puerto Real,1,6.0,6
Valdemaqueda,1,6.0,6
Villaconejos,1,6.0,6
"Álamo, El",1,6.0,6
Torrelaguna,3,5.67,8
Algete,2,5.5,8
Galapagar,2,5.5,9
Rivas-Vaciamadrid,6,5.33,10
Villaviciosa de Odón,3,5.33,8
Navalcarnero,5,5.0,8
"Boalo, El",3,5.0,5
Soto del Real,3,5.0,8
Villanueva de la Cañada,3,5.0,8
Rascafría,2,5.0,7
San Agustín del Guadalix,2,5.0,9
Valdelaguna,2,5.0,5
Ambite,1,5.0,5
Anchuelo,1,5.0,5
Belmonte de Tajo,1,5.0,5
Carabaña,1,5.0,5
Chapinería,1,5.0,5
Fresnedillas de la Oliva,1,5.0,5
Fuentidueña de Tajo,1,5.0,5
Olmeda de las Fuentes,1,5.0,5
Orusco de Tajuña,1,5.0,5
Pezuela de las Torres,1,5.0,5
Pozuelo del Rey,1,5.0,5
Santorcaz,1,5.0,5
"Santos de la Humosa, Los",1,5.0,5
Tielmes,1,5.0,5
Titulcia,1,5.0,5
Valdaracete,1,5.0,5
Valdetorres de Jarama,1,5.0,5
Valverde de Alcalá,1,5.0,5
Villamanrique de Tajo,1,5.0,5
Villamantilla,1,5.0,5
Villar del Olmo,1,5.0,5
Villalbilla,4,4.75,7
Humanes de Madrid,3,4.67,7
Tres Cantos,5,4.6,10
Buitrago del Lozoya,4,4.5,7
Berzosa del Lozoya,2,4.5,6
Colmenar de Oreja,2,4.5,8
Torrelodones,2,4.5,8
Velilla de San Antonio,2,4.5,8
"Vellón, El",2,4.5,5
San Fernando de Henares,7,4.43,10
Santa María de la Alameda,4,4.25,6
"Rozas de Madrid, Las",13,4.15,8
"Molar, El",3,4.0,7
Brea de Tajo,2,4.0,5
Chinchón,2,4.0,7
Daganzo de Arriba,2,4.0,7
Garganta de los Montes,2,4.0,4
Gargantilla del Lozoya y Pinilla de Buitrago,2,4.0,4
Loeches,2,4.0,6
Piñuécar-Gandullas,2,4.0,4
Valdeolmos-Alalpardo,2,4.0,4
Zarzalejo,2,4.0,5
Alameda del Valle,1,4.0,4
"Berrueco, El",1,4.0,4
Bustarviejo,1,4.0,4
Cabanillas de la Sierra,1,4.0,4
Cobeña,1,4.0,4
Corpa,1,4.0,4
Fresno de Torote,1,4.0,4
Gascones,1,4.0,4
Horcajuelo de la Sierra,1,4.0,4
Patones,1,4.0,4
Puebla de la Sierra,1,4.0,4
Redueña,1,4.0,4
Ribatejada,1,4.0,4
Robledillo de la Jara,1,4.0,4
Robregordo,1,4.0,4
Talamanca de Jarama,1,4.0,4
Torremocha de Jarama,1,4.0,4
Valdeavero,1,4.0,4
Valdepiélagos,1,4.0,4
Valdilecha,1,4.0,4
Villamanta,1,4.0,4
Villanueva de Perales,1,4.0,4
Mejorada del Campo,4,3.75,10
Pozuelo de Alarcón,11,3.73,10
Lozoyuela-Navas-Sieteiglesias,3,3.67,4
Puentes Viejas,3,3.67,4
Arroyomolinos,2,3.5,6
Casarrubuelos,2,3.5,6
Navalafuente,2,3.5,4
Pinilla del Valle,2,3.5,4
Venturada,2,3.5,4
Horcajo de la Sierra-Aoslos,2,3.0,3
Navarredonda y San Mamés,2,3.0,3
"Acebeda, La",1,3.0,3
"Atazar, El",1,3.0,3
Braojos,1,3.0,3
Canencia,1,3.0,3
Cervera de Buitrago,1,3.0,3
"Hiruela, La",1,3.0,3
Lozoya,1,3.0,3
Madarcos,1,3.0,3
Montejo de la Sierra,1,3.0,3
Prádena del Rincón,1,3.0,3
"Serna del Monte, La",1,3.0,3
Somosierra,1,3.0,3
Valdemanco,1,3.0,3
Villavieja del Lozoya,1,3.0,3
