centro_id,centro_tipo,municipio,dependencia_patrimonial,direccion_completa,num_especialidades,perfiles_atencion
CH0023,Hospital general,Madrid,Servicio Madrileño de Salud,AVDA de Córdoba S/N Madrid 28041,88,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0034,Hospital general,Madrid,Servicio Madrileño de Salud,CALLE del Doctor Esquerdo 46 Madrid 28007,88,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0041,Hospital general,Madrid,Servicio Madrileño de Salud,PASEO de la Castellana 261 Madrid 28046,86,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0053,Hospital general,Madrid,Servicio Madrileño de Salud,CALLE del Profesor Martín Lagos s/n Madrid 28040,84,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0049,Hospital general,Madrid,Servicio Madrileño de Salud,"CTRA de Colmenar Viejo KM.9,1 Madrid 28034",82,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0075,Hospital general,Getafe,Servicio Madrileño de Salud,"CTRA de Madrid-Toledo KM.12,500 Getafe 28905",74,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0080,Hospital general,Alcorcón,Servicio Madrileño de Salud,CALLE Budapest 1 Alcorcón 28922,71,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0029,Hospital general,Madrid,Servicio Madrileño de Salud,CALLE de Diego de León 62 Madrid 28006,65,cardiovascular | neurologia | trauma_ortopedia | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0052,Hospital general,Leganés,Servicio Madrileño de Salud,AVDA Orellana S/N Leganés 28911,62,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0096,Hospital general,Coslada,Servicio Madrileño de Salud,AVDA de Marie Curie s/n Coslada 28822,56,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0037,Hospital especializado,Madrid,Servicio Madrileño de Salud,AVDA de Menéndez Pelayo 65 Madrid 28009,56,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0101,Hospital general,Madrid,Servicio Madrileño de Salud,AVDA de la Gran Vía del Este 80 Madrid 28031,53,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia
CH0051,Hospital general,Madrid,Servicio Madrileño de Salud,CALLE del Maestro Vives 2 Madrid 28009,46,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia
CH0059,Hospital especializado,Madrid,Servicio Madrileño de Salud,CALLE de Francisco Silvela 40 Madrid 28028,30,cardiovascular | trauma_ortopedia | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia
