nombre,lat,lon,nodo_red,centro_id,direccion_completa,especialidades_texto,perfiles_atencion,dist_match_m
Centro de especialidades Emigrantes,40.4685882,-3.6364048,219426544,CS1932,CALLE de Minaya 7 Madrid 28043,Vacunación | Obtención de muestras | Atención sanitaria a drogodependientes,,37.3
Gerencia Sermas,40.4681204,-3.7267737,385099354,CS11358,CALLE de San Martín de Porres 6 Madrid 28035,Enfermería | Pediatría | Vacunación | Obtención de muestras | Medicina general/de familia | Cirugía menor ambulatoria | Atención sanitaria domiciliaria,pediatria | cirugia,39.9
Centro médico Costa Rica,40.4592666,-3.6689294,320596749,CS2235,PLAZA de José María Soler 7 LOCAL Madrid 28016,Neurología | Hematología clínica | Cardiología | Depósito de medicamentos | Alergología | Angiología y Cirugía Vascular | Neumología | Reumatología | Enfermería | Neurofisiología | Vacunación | Geriatría | Logopedia | Cirugía maxilofacial | Cirugía general y digestivo | Psiquiatría | Rehabilitación | Urología | Neurocirugía | Dermatología | Medicina general/de familia | Radiodiagnóstico | Otorrinolaringología | Podología | Aparato digestivo | Psiquiatría Infantil y de la Adolescencia | Endocrinología | Pediatría | Obtención de muestras | Obstetricia | Ginecología | Cirugía pediátrica | Otras unidades asistenciales | Oftalmología | Tratamiento del dolor | Cirugía ortopédica y Traumatología,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | rehabilitacion | cirugia,2.4
Instituto Anatómico Forense,40.4437878,-3.7229335,150760723,CS1524,CALLE de Manuel Bartolomé Cossio 10 Madrid 28040,Otras unidades asistenciales | Radiodiagnóstico,diagnostico,215.5
Centro de Especialidades González Bueno,40.4234652,-3.6271467,1325487087,CS2896,CALLE de los Hermanos García Noblejas 168 Madrid 28037,Enfermería | Vacunación | Odontología/Estomatología | Pediatría | Obtención de muestras | Atención sanitaria domiciliaria | Cirugía menor ambulatoria | Fisioterapia | Medicina general/de familia | Enfermería obstétrico-ginecológica (matrona),obstetricia_neonatal | pediatria | rehabilitacion | cirugia,61.3
Clínica del Dolor de Madrid,40.4325782,-3.7086334,26025888,CS1077,CALLE de Vallehermoso 26 Bajo Dcha. Madrid 28015,Anestesia y Reanimación | Medicina general/de familia | Otras unidades asistenciales,urgencias_criticas,3.1
Clínica del Pie Argüelles,40.4320277,-3.7180067,55138197,CS17105,CALLE de Benito Gutiérrez 5 BAJO A Madrid 28008,Podología,,0.7
Clínica Madrid Vascular,40.424623,-3.6739591,25552379,CS3515,CALLE de Goya 99 ESCALERA C 7º Izda. Esc. C Madrid 28009,Otorrinolaringología | Medicina estética,,30.1
Cruz Roja Ofic. Territorial Hortaleza-Madrid,40.4622031,-3.6291778,2260242289,SS01081,CALLE de Dionisio Inca Yupanqui 41 Madrid 28043,Otras unidades asistenciales | Fisioterapia,rehabilitacion,34.2
Centro de salud Segre,40.4512567,-3.6853522,98999836,CS7196,CALLE del Segre 27 Madrid 28002,Enfermería | Obtención de muestras | Atención sanitaria domiciliaria | Pediatría | Medicina general/de familia | Vacunación,pediatria,5.5
Hospital Sanitas Valdebebas,40.4928222,-3.606016,1012899084,CH0120,CALLE de Gustavo Pérez Puig 66 Madrid 28055,Nutrición y Dietética | Bioquímica clínica | Laboratorio Clínico | Oftalmología | Cirugía maxilofacial | Nefrología | Aparato digestivo | Farmacia | Servicio de transfusión | Microbiología y Parasitología | Rehabilitación | Medicina interna | Terapia ocupacional | Cirugía torácica | Neurocirugía | Radioterapia | Fisioterapia | Cirugía ortopédica y Traumatología | Anatomía patológica | Cirugía plástica y reparadora | Radiodiagnóstico | Hematología clínica | Cirugía mayor ambulatoria | Alergología | Neurología | Implantación de tejidos | Medicina preventiva | Dermatología | Otorrinolaringología | Tratamiento del dolor | Enfermería | Obtención de muestras | Psiquiatría | Cirugía menor ambulatoria | Odontología/Estomatología | Oncología | Neumología | Vacunación | Anestesia y Reanimación | Otras unidades asistenciales | Atención Continuada en Atención Primaria | Reumatología | Cirugía general y digestivo | Pediatría | Neurofisiología | Endocrinología | Hemodinámica | Cirugía pediátrica | Urología | Ginecología | Medicina general/de familia | Cardiología | Hospital de día | Angiología y Cirugía Vascular | Medicina intensiva,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,31.3
